split,class_label,record_id,chunk_id,chunk_file,sample_rate,window_sec,window_samples,start_sample,end_sample,original_split,original_chunk_file,source_mem_file,dataset_source,source_db,record_total_samples,settling_skip_samples,dropped_tail_samples,balanced_index,notes,start_sec,end_sec,native_fs,beat_count,normal_beat_count,abnormal_beat_count,abnormal_beat_ratio,rbbb_count,pvc_count,pac_sv_count,fusion_paced_unknown_count,afib_afl_overlap_sec,afib_afl_ratio,rhythm_labels,annotation_symbols,annotation_valid,annotation_weak,exclusion_reason,beat_annotation_file,rhythm_annotation_file
train,NSR,16265,2682,train/NSR/16265/16265_w02682.mem,1000,30,30000,80462000,80491999,train,train/NSR/16265/16265_w02682.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,162,,80462.000,80492.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
test,NSR,16265,2699,test/NSR/16265/16265_w02699.mem,1000,30,30000,80972000,81001999,train,train/NSR/16265/16265_w02699.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,163,,80972.000,81002.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
train,NSR,16265,2715,train/NSR/16265/16265_w02715.mem,1000,30,30000,81452000,81481999,train,train/NSR/16265/16265_w02715.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,164,,81452.000,81482.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
val,NSR,16265,2732,val/NSR/16265/16265_w02732.mem,1000,30,30000,81962000,81991999,train,train/NSR/16265/16265_w02732.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,165,,81962.000,81992.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
train,NSR,16265,2748,train/NSR/16265/16265_w02748.mem,1000,30,30000,82442000,82471999,train,train/NSR/16265/16265_w02748.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,166,,82442.000,82472.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
test,NSR,16265,2765,test/NSR/16265/16265_w02765.mem,1000,30,30000,82952000,82981999,train,train/NSR/16265/16265_w02765.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,167,,82952.000,82982.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
train,NSR,16265,2781,train/NSR/16265/16265_w02781.mem,1000,30,30000,83432000,83461999,train,train/NSR/16265/16265_w02781.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,168,,83432.000,83462.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
val,NSR,16265,2798,val/NSR/16265/16265_w02798.mem,1000,30,30000,83942000,83971999,train,train/NSR/16265/16265_w02798.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,169,,83942.000,83972.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
train,NSR,16265,2814,train/NSR/16265/16265_w02814.mem,1000,30,30000,84422000,84451999,train,train/NSR/16265/16265_w02814.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,170,,84422.000,84452.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
test,NSR,16265,2831,test/NSR/16265/16265_w02831.mem,1000,30,30000,84932000,84961999,train,train/NSR/16265/16265_w02831.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,171,,84932.000,84962.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
