candidate_id,arr_param,aff_quiet_param,aff_persistent_param,nsr_param,passes_core,passes_balanced_guard,train_accuracy,train_macro_f1,train_arr_recall,train_min_recall,val_accuracy,val_macro_f1,val_arr_recall,val_min_recall,val_recall_range
0,null,null,null,null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.8125,0.8078477443609022,0.75,0.625,0.375
1,null,null,"[10, 5, 500]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.78125,0.7827205882352941,0.75,0.75,0.125
2,null,null,"[10, 5, 2000]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.8125,0.8121323529411765,0.75,0.75,0.125
3,null,null,"[10, 5, 2500]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.84375,0.8409722222222222,0.75,0.75,0.25
4,null,null,"[16, 5, 500]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.8125,0.8121323529411765,0.75,0.75,0.125
5,null,null,"[20, 5, 500]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.78125,0.7798611111111111,0.75,0.625,0.25
6,null,"[18, 0, 5, 2]",null,null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.84375,0.8409722222222222,0.75,0.75,0.25
7,null,"[18, 0, 5, 2]","[10, 5, 500]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.8125,0.8131944444444443,0.75,0.75,0.125
8,null,"[18, 0, 5, 2]","[10, 5, 2000]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
9,null,"[18, 0, 5, 2]","[10, 5, 2500]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.875,0.8727941176470588,0.75,0.75,0.25
10,null,"[18, 0, 5, 2]","[16, 5, 500]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
11,null,"[18, 0, 5, 2]","[20, 5, 500]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.8125,0.8121323529411765,0.75,0.75,0.125
12,null,"[18, 0, 10, 5]",null,null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.84375,0.8409722222222222,0.75,0.75,0.25
13,null,"[18, 0, 10, 5]","[10, 5, 500]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.8125,0.8131944444444443,0.75,0.75,0.125
14,null,"[18, 0, 10, 5]","[10, 5, 2000]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
15,null,"[18, 0, 10, 5]","[10, 5, 2500]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.875,0.8727941176470588,0.75,0.75,0.25
16,null,"[18, 0, 10, 5]","[16, 5, 500]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
17,null,"[18, 0, 10, 5]","[20, 5, 500]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.8125,0.8121323529411765,0.75,0.75,0.125
18,null,"[18, 0, 30, 10]",null,null,0,0,0.7205882352941176,0.7157467532467532,0.5294117647058824,0.5294117647058824,0.84375,0.8409722222222222,0.75,0.75,0.25
19,null,"[18, 0, 30, 10]","[10, 5, 500]",null,0,0,0.7205882352941176,0.7157467532467532,0.5294117647058824,0.5294117647058824,0.8125,0.8131944444444443,0.75,0.75,0.125
20,null,"[18, 0, 30, 10]","[10, 5, 2000]",null,0,0,0.7205882352941176,0.7157467532467532,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
21,null,"[18, 0, 30, 10]","[10, 5, 2500]",null,0,0,0.7205882352941176,0.7157467532467532,0.5294117647058824,0.5294117647058824,0.875,0.8727941176470588,0.75,0.75,0.25
22,null,"[18, 0, 30, 10]","[16, 5, 500]",null,0,0,0.7205882352941176,0.7157467532467532,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
23,null,"[18, 0, 30, 10]","[20, 5, 500]",null,0,0,0.7205882352941176,0.7157467532467532,0.5294117647058824,0.5294117647058824,0.8125,0.8121323529411765,0.75,0.75,0.125
24,null,"[18, 0, 50, 0]",null,null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.84375,0.8409722222222222,0.75,0.75,0.25
25,null,"[18, 0, 50, 0]","[10, 5, 500]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.8125,0.8131944444444443,0.75,0.75,0.125
26,null,"[18, 0, 50, 0]","[10, 5, 2000]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
27,null,"[18, 0, 50, 0]","[10, 5, 2500]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.875,0.8727941176470588,0.75,0.75,0.25
28,null,"[18, 0, 50, 0]","[16, 5, 500]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
29,null,"[18, 0, 50, 0]","[20, 5, 500]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.8125,0.8121323529411765,0.75,0.75,0.125
30,null,"[18, 0, 50, 2]",null,null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.875,0.8727941176470588,0.75,0.75,0.25
31,null,"[18, 0, 50, 2]","[10, 5, 500]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.84375,0.8435620300751879,0.75,0.75,0.25
32,null,"[18, 0, 50, 2]","[10, 5, 2000]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.875,0.8743055555555556,0.75,0.75,0.25
33,null,"[18, 0, 50, 2]","[10, 5, 2500]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.90625,0.9040441176470588,0.75,0.75,0.25
34,null,"[18, 0, 50, 2]","[16, 5, 500]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.875,0.8743055555555556,0.75,0.75,0.25
35,null,"[18, 0, 50, 2]","[20, 5, 500]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
36,null,"[18, 0, 50, 5]",null,null,0,0,0.7647058823529411,0.7599789915966386,0.5294117647058824,0.5294117647058824,0.875,0.8727941176470588,0.75,0.75,0.25
37,null,"[18, 0, 50, 5]","[10, 5, 500]",null,0,0,0.7647058823529411,0.7599789915966386,0.5294117647058824,0.5294117647058824,0.84375,0.8435620300751879,0.75,0.75,0.25
38,null,"[18, 0, 50, 5]","[10, 5, 2000]",null,0,0,0.7647058823529411,0.7599789915966386,0.5294117647058824,0.5294117647058824,0.875,0.8743055555555556,0.75,0.75,0.25
39,null,"[18, 0, 50, 5]","[10, 5, 2500]",null,0,0,0.7647058823529411,0.7599789915966386,0.5294117647058824,0.5294117647058824,0.90625,0.9040441176470588,0.75,0.75,0.25
40,null,"[18, 0, 50, 5]","[16, 5, 500]",null,0,0,0.7647058823529411,0.7599789915966386,0.5294117647058824,0.5294117647058824,0.875,0.8743055555555556,0.75,0.75,0.25
41,null,"[18, 0, 50, 5]","[20, 5, 500]",null,0,0,0.7647058823529411,0.7599789915966386,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
42,null,"[18, 0, 50, 10]",null,null,0,0,0.7647058823529411,0.7596726190476191,0.5294117647058824,0.5294117647058824,0.875,0.8727941176470588,0.75,0.75,0.25
43,null,"[18, 0, 50, 10]","[10, 5, 500]",null,0,0,0.7647058823529411,0.7596726190476191,0.5294117647058824,0.5294117647058824,0.84375,0.8435620300751879,0.75,0.75,0.25
44,null,"[18, 0, 50, 10]","[10, 5, 2000]",null,0,0,0.7647058823529411,0.7596726190476191,0.5294117647058824,0.5294117647058824,0.875,0.8743055555555556,0.75,0.75,0.25
45,null,"[18, 0, 50, 10]","[10, 5, 2500]",null,0,0,0.7647058823529411,0.7596726190476191,0.5294117647058824,0.5294117647058824,0.90625,0.9040441176470588,0.75,0.75,0.25
46,null,"[18, 0, 50, 10]","[16, 5, 500]",null,0,0,0.7647058823529411,0.7596726190476191,0.5294117647058824,0.5294117647058824,0.875,0.8743055555555556,0.75,0.75,0.25
47,null,"[18, 0, 50, 10]","[20, 5, 500]",null,0,0,0.7647058823529411,0.7596726190476191,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
48,null,"[18, 0, 150, 25]",null,null,0,0,0.7647058823529411,0.7605944077718271,0.5294117647058824,0.5294117647058824,0.875,0.8727941176470588,0.75,0.75,0.25
49,null,"[18, 0, 150, 25]","[10, 5, 500]",null,0,0,0.7647058823529411,0.7605944077718271,0.5294117647058824,0.5294117647058824,0.84375,0.8435620300751879,0.75,0.75,0.25
50,null,"[18, 0, 150, 25]","[10, 5, 2000]",null,0,0,0.7647058823529411,0.7605944077718271,0.5294117647058824,0.5294117647058824,0.875,0.8743055555555556,0.75,0.75,0.25
51,null,"[18, 0, 150, 25]","[10, 5, 2500]",null,0,0,0.7647058823529411,0.7605944077718271,0.5294117647058824,0.5294117647058824,0.90625,0.9040441176470588,0.75,0.75,0.25
52,null,"[18, 0, 150, 25]","[16, 5, 500]",null,0,0,0.7647058823529411,0.7605944077718271,0.5294117647058824,0.5294117647058824,0.875,0.8743055555555556,0.75,0.75,0.25
53,null,"[18, 0, 150, 25]","[20, 5, 500]",null,0,0,0.7647058823529411,0.7605944077718271,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
54,null,"[23, 0, 50, 0]",null,null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.84375,0.8409722222222222,0.75,0.75,0.25
55,null,"[23, 0, 50, 0]","[10, 5, 500]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.8125,0.8131944444444443,0.75,0.75,0.125
56,null,"[23, 0, 50, 0]","[10, 5, 2000]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
57,null,"[23, 0, 50, 0]","[10, 5, 2500]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.875,0.8727941176470588,0.75,0.75,0.25
58,null,"[23, 0, 50, 0]","[16, 5, 500]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
59,null,"[23, 0, 50, 0]","[20, 5, 500]",null,0,0,0.7205882352941176,0.7148228297421846,0.5294117647058824,0.5294117647058824,0.8125,0.8121323529411765,0.75,0.75,0.125
60,null,"[23, 0, 50, 2]",null,null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.875,0.8727941176470588,0.75,0.75,0.25
61,null,"[23, 0, 50, 2]","[10, 5, 500]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.84375,0.8435620300751879,0.75,0.75,0.25
62,null,"[23, 0, 50, 2]","[10, 5, 2000]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.875,0.8743055555555556,0.75,0.75,0.25
63,null,"[23, 0, 50, 2]","[10, 5, 2500]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.90625,0.9040441176470588,0.75,0.75,0.25
64,null,"[23, 0, 50, 2]","[16, 5, 500]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.875,0.8743055555555556,0.75,0.75,0.25
65,null,"[23, 0, 50, 2]","[20, 5, 500]",null,0,0,0.7352941176470589,0.7301587301587302,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
66,null,"[23, 0, 50, 5]",null,null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.875,0.8727941176470588,0.75,0.75,0.25
67,null,"[23, 0, 50, 5]","[10, 5, 500]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.84375,0.8435620300751879,0.75,0.75,0.25
68,null,"[23, 0, 50, 5]","[10, 5, 2000]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.875,0.8743055555555556,0.75,0.75,0.25
69,null,"[23, 0, 50, 5]","[10, 5, 2500]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.90625,0.9040441176470588,0.75,0.75,0.25
70,null,"[23, 0, 50, 5]","[16, 5, 500]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.875,0.8743055555555556,0.75,0.75,0.25
71,null,"[23, 0, 50, 5]","[20, 5, 500]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
72,null,"[23, 0, 50, 10]",null,null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.875,0.8727941176470588,0.75,0.75,0.25
73,null,"[23, 0, 50, 10]","[10, 5, 500]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.84375,0.8435620300751879,0.75,0.75,0.25
74,null,"[23, 0, 50, 10]","[10, 5, 2000]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.875,0.8743055555555556,0.75,0.75,0.25
75,null,"[23, 0, 50, 10]","[10, 5, 2500]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.90625,0.9040441176470588,0.75,0.75,0.25
76,null,"[23, 0, 50, 10]","[16, 5, 500]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.875,0.8743055555555556,0.75,0.75,0.25
77,null,"[23, 0, 50, 10]","[20, 5, 500]",null,0,0,0.75,0.7451839826839827,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
78,null,"[27, 0, 50, 10]",null,null,0,0,0.7352941176470589,0.7305672268907564,0.5294117647058824,0.5294117647058824,0.84375,0.8409722222222222,0.75,0.75,0.25
79,null,"[27, 0, 50, 10]","[10, 5, 500]",null,0,0,0.7352941176470589,0.7305672268907564,0.5294117647058824,0.5294117647058824,0.8125,0.8131944444444443,0.75,0.75,0.125
80,null,"[27, 0, 50, 10]","[10, 5, 2000]",null,0,0,0.7352941176470589,0.7305672268907564,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
81,null,"[27, 0, 50, 10]","[10, 5, 2500]",null,0,0,0.7352941176470589,0.7305672268907564,0.5294117647058824,0.5294117647058824,0.875,0.8727941176470588,0.75,0.75,0.25
82,null,"[27, 0, 50, 10]","[16, 5, 500]",null,0,0,0.7352941176470589,0.7305672268907564,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
83,null,"[27, 0, 50, 10]","[20, 5, 500]",null,0,0,0.7352941176470589,0.7305672268907564,0.5294117647058824,0.5294117647058824,0.8125,0.8121323529411765,0.75,0.75,0.125
84,null,"[30, 0, 30, 10]",null,null,0,0,0.7058823529411765,0.7006448412698413,0.5294117647058824,0.5294117647058824,0.84375,0.8409722222222222,0.75,0.75,0.25
85,null,"[30, 0, 30, 10]","[10, 5, 500]",null,0,0,0.7058823529411765,0.7006448412698413,0.5294117647058824,0.5294117647058824,0.8125,0.8131944444444443,0.75,0.75,0.125
86,null,"[30, 0, 30, 10]","[10, 5, 2000]",null,0,0,0.7058823529411765,0.7006448412698413,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
87,null,"[30, 0, 30, 10]","[10, 5, 2500]",null,0,0,0.7058823529411765,0.7006448412698413,0.5294117647058824,0.5294117647058824,0.875,0.8727941176470588,0.75,0.75,0.25
88,null,"[30, 0, 30, 10]","[16, 5, 500]",null,0,0,0.7058823529411765,0.7006448412698413,0.5294117647058824,0.5294117647058824,0.84375,0.8433823529411765,0.75,0.75,0.125
89,null,"[30, 0, 30, 10]","[20, 5, 500]",null,0,0,0.7058823529411765,0.7006448412698413,0.5294117647058824,0.5294117647058824,0.8125,0.8121323529411765,0.75,0.75,0.125
90,"[9, 0, 0]",null,null,null,1,0,0.6911764705882353,0.6875,0.5882352941176471,0.5882352941176471,0.8125,0.8087163610383425,0.875,0.625,0.375
91,"[9, 0, 0]",null,"[10, 5, 500]",null,0,0,0.6911764705882353,0.6875,0.5882352941176471,0.5882352941176471,0.78125,0.7808823529411765,0.875,0.75,0.125
92,"[9, 0, 0]",null,"[10, 5, 2000]",null,1,0,0.6911764705882353,0.6875,0.5882352941176471,0.5882352941176471,0.8125,0.8117647058823529,0.875,0.75,0.125
93,"[9, 0, 0]",null,"[10, 5, 2500]",null,1,0,0.6911764705882353,0.6875,0.5882352941176471,0.5882352941176471,0.84375,0.842390289449113,0.875,0.75,0.25
94,"[9, 0, 0]",null,"[16, 5, 500]",null,1,0,0.6911764705882353,0.6875,0.5882352941176471,0.5882352941176471,0.8125,0.8117647058823529,0.875,0.75,0.125
95,"[9, 0, 0]",null,"[20, 5, 500]",null,0,0,0.6911764705882353,0.6875,0.5882352941176471,0.5882352941176471,0.78125,0.7788982259570495,0.875,0.625,0.25
96,"[9, 0, 0]","[18, 0, 5, 2]",null,null,1,0,0.6911764705882353,0.6875,0.5882352941176471,0.5882352941176471,0.84375,0.842390289449113,0.875,0.75,0.25
97,"[9, 0, 0]","[18, 0, 5, 2]","[10, 5, 500]",null,1,0,0.6911764705882353,0.6875,0.5882352941176471,0.5882352941176471,0.8125,0.8117647058823529,0.875,0.75,0.125
98,"[9, 0, 0]","[18, 0, 5, 2]","[10, 5, 2000]",null,1,0,0.6911764705882353,0.6875,0.5882352941176471,0.5882352941176471,0.84375,0.8433823529411765,0.875,0.75,0.125
99,"[9, 0, 0]","[18, 0, 5, 2]","[10, 5, 2500]",null,1,0,0.6911764705882353,0.6875,0.5882352941176471,0.5882352941176471,0.875,0.8745098039215686,0.875,0.75,0.25
100,"[9, 0, 0]","[18, 0, 5, 2]","[16, 5, 500]",null,1,0,0.6911764705882353,0.6875,0.5882352941176471,0.5882352941176471,0.84375,0.8433823529411765,0.875,0.75,0.125
101,"[9, 0, 0]","[18, 0, 5, 2]","[20, 5, 500]",null,1,0,0.6911764705882353,0.6875,0.5882352941176471,0.5882352941176471,0.8125,0.8117647058823529,0.875,0.75,0.125
102,"[9, 0, 0]","[18, 0, 10, 5]",null,null,1,0,0.7058823529411765,0.7039345063538612,0.5882352941176471,0.5882352941176471,0.84375,0.842390289449113,0.875,0.75,0.25
103,"[9, 0, 0]","[18, 0, 10, 5]","[10, 5, 500]",null,1,0,0.7058823529411765,0.7039345063538612,0.5882352941176471,0.5882352941176471,0.8125,0.8117647058823529,0.875,0.75,0.125
104,"[9, 0, 0]","[18, 0, 10, 5]","[10, 5, 2000]",null,1,0,0.7058823529411765,0.7039345063538612,0.5882352941176471,0.5882352941176471,0.84375,0.8433823529411765,0.875,0.75,0.125
105,"[9, 0, 0]","[18, 0, 10, 5]","[10, 5, 2500]",null,1,0,0.7058823529411765,0.7039345063538612,0.5882352941176471,0.5882352941176471,0.875,0.8745098039215686,0.875,0.75,0.25
106,"[9, 0, 0]","[18, 0, 10, 5]","[16, 5, 500]",null,1,0,0.7058823529411765,0.7039345063538612,0.5882352941176471,0.5882352941176471,0.84375,0.8433823529411765,0.875,0.75,0.125
