case_id,split,class_label,class_id,record_id,chunk_id,balanced_index,chunk_file,chunk_start_sample,chunk_end_sample,snapshot_id,snapshot_start_sample,snapshot_end_sample,snapshot_start_sec,snapshot_end_sec,source_db,snapshot_pred_class,pred_class,snapshot_pred_label,pred_label,pred_valid,class_mem_NSR,class_mem_CHF,class_mem_ARR,class_mem_AFF,beat_count,pnn_match_count,pnn_mismatch_count,dscr_flip_count,dscr_slope_count,ram_code_sum,ram_code_count,rdm_valid_count,rdm_code_sum,rdm_ge10_count,rdm_ge20_count,rdm_ge30_count,rdm_ge40_count,rdm_ge50_count,rdm_ge60_count,rdm_ge70_count,rdm_ge80_count,rdm_ge90_count,rdm_ge100_count,rdm_ge110_count,rdm_ge120_count,rdm_ge130_count,rdm_ge140_count,rdm_ge150_count,ectopic_pair_count,qrs_maf_valid_count,qrs_maf_count,qrs_maf_code_sum,qrs_width_abn_count,qrs_complex_abn_count,qrs_energy_abn_count,qrs_maf_width_sum,qrs_maf_complex_sum,qrs_maf_energy_sum,rbbb_delay_valid_count,rbbb_delay_wide_count,rbbb_delay_terminal_count,rbbb_delay_like_count,rbbb_delay_segment_count,rbbb_delay_applied_count,pre_qrs_bump_count,eerg_gate_count,eerg_applied_count,eerg_pre_qrs_bump_count,eerg_early_count,eerg_ecp_count,eerg_pnn_decision_count,eerg_pnn_mismatch_count,eerg_rdm_valid_count,eerg_rdm_code_sum,strong_event_count,adaptive_event_th,pnn_decision_count,pnn_mismatch_rate_bp,rdm_avg_code_q8,ram_avg_code_q8,qrs_maf_rate_bp,rbbb_like_rate_bp,abnormal_evidence_count,rhythm_irregular_evidence_count,morphology_evidence_count
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,0,5402000,5461999,5402.000,5462.000,nsrdb,0,0,NSR,NSR,1,54602353,-95888255,-52080432,-101075417,53,51,0,105,1303,507,51,51,153,41,34,22,17,13,10,7,4,3,2,0,0,0,0,0,0,53,0,0,0,0,0,2914,105,161,53,0,0,0,0,0,53,0,0,53,0,0,51,0,51,153,2395,6,51,0,768,2544,0,0,13,13,0
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,1,5462000,5521999,5462.000,5522.000,nsrdb,3,3,AFF,AFF,1,-32955136,-103877295,-35057945,-25714515,76,54,19,127,1554,536,54,74,458,64,54,44,36,32,29,27,26,25,24,21,20,19,19,18,5,75,9,8,9,0,0,3927,115,193,79,0,0,0,0,0,75,0,0,75,22,5,73,19,74,458,3784,4,73,2602,1584,2541,1184,0,74,56,18
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,2,5522000,5581999,5522.000,5582.000,nsrdb,0,0,NSR,NSR,1,4601081,-34792746,-77994057,-88185835,74,69,3,144,1763,679,69,72,140,49,26,17,9,7,5,3,3,3,3,3,3,3,3,3,0,74,5,15,5,0,0,1703,144,238,90,2,2,2,0,0,74,0,0,74,2,0,72,3,72,140,1371,20,72,416,497,2519,675,222,22,10,12
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,3,5582000,5641999,5582.000,5642.000,nsrdb,0,0,NSR,NSR,1,-13382057,-86808780,-33056531,-62634087,69,53,14,127,1581,516,53,67,350,52,46,37,29,24,21,21,17,17,16,15,14,14,14,13,5,69,5,2,5,0,0,3691,123,204,72,0,0,0,0,0,69,0,0,69,11,5,67,14,67,350,3242,5,67,2089,1337,2492,724,0,53,43,10
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,4,5642000,5701999,5642.000,5702.000,nsrdb,0,0,NSR,NSR,1,38797359,-112447513,-33270460,-88795679,63,58,3,123,1511,584,58,61,181,52,40,23,16,12,8,4,4,4,4,3,3,3,3,2,1,63,0,0,0,0,0,2271,121,187,70,0,0,0,0,0,63,0,0,63,2,1,61,3,61,181,2011,10,61,491,759,2577,0,0,16,16,0
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,5,5702000,5761999,5702.000,5762.000,nsrdb,0,0,NSR,NSR,1,58358739,-98834194,-56808120,-97123643,64,62,0,127,1570,656,62,62,109,41,28,18,13,7,2,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,2120,127,197,77,0,0,0,0,0,64,0,0,64,0,0,62,0,62,109,1871,12,62,0,450,2708,0,0,7,7,0
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,6,5762000,5821999,5762.000,5822.000,nsrdb,0,0,NSR,NSR,1,19575199,-84729084,-42201260,-88153495,70,60,8,129,1581,592,60,68,221,45,33,25,17,13,11,10,9,9,9,8,8,8,8,8,2,70,2,0,2,0,0,3121,127,197,98,0,0,0,0,0,70,0,0,70,9,2,68,8,68,221,2479,8,68,1176,832,2525,285,0,27,23,4
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,7,5822000,5881999,5822.000,5882.000,nsrdb,0,0,NSR,NSR,1,-47121604,-48230033,-54908613,-48313716,93,73,18,171,1944,695,73,91,394,54,37,32,28,26,25,25,25,24,23,22,20,18,18,17,4,93,19,50,19,0,0,5635,165,284,138,2,4,2,0,0,93,0,0,93,14,4,91,18,91,394,3623,8,91,1978,1108,2437,2043,144,88,48,40
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,8,5882000,5941999,5882.000,5942.000,nsrdb,0,0,NSR,NSR,1,-21068652,-90920739,-25562861,-58758101,74,59,13,139,1660,557,59,72,353,61,45,38,30,26,21,16,16,15,15,15,15,15,13,12,6,74,4,7,4,0,0,3155,136,231,140,1,1,1,0,0,74,0,0,74,8,6,72,13,72,353,2410,10,72,1805,1255,2416,540,71,54,45,9
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,9,5942000,6001999,5942.000,6002.000,nsrdb,0,0,NSR,NSR,1,45511677,-90518952,-51224445,-98293938,60,55,3,117,1430,532,55,58,189,44,36,30,20,13,10,7,7,4,3,3,3,3,3,3,0,60,0,0,0,0,0,3331,117,196,70,0,0,0,0,0,60,0,0,60,4,0,58,3,58,189,2909,6,58,517,834,2476,0,0,16,16,0
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,10,6002000,6061999,6002.000,6062.000,nsrdb,0,0,NSR,NSR,1,55225554,-98300265,-52157311,-98778877,58,56,0,115,1367,522,56,56,149,45,36,26,14,11,9,5,3,0,0,0,0,0,0,0,0,58,0,0,0,0,0,2842,115,178,60,0,0,0,0,0,58,0,0,58,0,0,56,0,56,149,2326,8,56,0,681,2386,0,0,11,11,0
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,11,6062000,6121999,6062.000,6122.000,nsrdb,2,2,ARR,ARR,1,-50919039,-70306561,-27832352,-49798992,87,63,22,129,1588,613,63,85,503,64,54,50,42,35,31,30,27,26,26,26,26,23,22,21,7,87,23,39,23,0,0,6538,125,238,103,3,3,3,0,0,87,0,0,87,32,7,85,22,85,503,4433,5,85,2588,1514,2490,2643,291,113,64,49
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,12,6122000,6181999,6122.000,6182.000,nsrdb,0,0,NSR,NSR,1,57109135,-83625132,-66725535,-100488875,58,56,0,115,1406,557,56,56,139,39,28,25,17,12,8,6,2,2,0,0,0,0,0,0,0,58,0,0,0,0,0,2921,115,190,60,0,0,0,0,0,58,0,0,58,0,0,56,0,56,139,2381,8,56,0,635,2546,0,0,12,12,0
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,13,6182000,6241999,6182.000,6242.000,nsrdb,0,0,NSR,NSR,1,-7136206,-85188538,-28168546,-74091853,66,53,11,119,1439,583,53,64,300,49,43,35,27,23,18,13,13,13,12,11,11,11,11,10,4,66,6,13,6,0,0,4006,116,201,77,0,0,0,0,0,66,0,0,66,11,4,64,11,64,300,3150,6,64,1718,1200,2816,909,0,50,38,12
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,14,6242000,6301999,6242.000,6302.000,nsrdb,0,0,NSR,NSR,1,21174788,-86538578,-39978983,-90171352,65,57,6,123,1396,522,57,63,166,43,27,16,10,8,7,7,6,6,6,6,6,6,6,6,0,65,2,3,2,0,0,3690,123,198,75,0,0,0,0,0,65,0,0,65,4,0,63,6,63,166,3103,6,63,952,674,2344,307,0,18,14,4
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,15,6302000,6361999,6302.000,6362.000,nsrdb,3,3,AFF,AFF,1,-39859116,-120684737,-32652436,-2775025,80,50,28,129,1612,538,51,78,585,68,59,52,44,39,37,37,36,35,35,32,30,29,27,25,13,80,12,8,12,0,0,4435,117,219,133,0,1,0,0,0,80,0,0,80,28,13,78,28,78,585,3361,6,78,3589,1920,2700,1500,0,104,80,24
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,16,6362000,6421999,6362.000,6422.000,nsrdb,0,0,NSR,NSR,1,22109754,-91400339,-37527166,-87813913,67,55,9,124,1482,590,55,65,268,49,38,28,24,21,16,14,13,10,10,9,9,9,9,9,4,66,6,16,6,0,0,4205,121,201,81,0,0,0,0,0,66,1,1,66,5,4,64,9,65,268,3197,6,64,1406,1055,2746,895,0,46,34,12
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,17,6422000,6481999,6422.000,6482.000,nsrdb,0,0,NSR,NSR,1,-4806327,-85004387,-35267590,-70564019,65,52,11,120,1209,468,52,63,269,47,37,28,24,19,16,13,12,11,11,11,10,10,10,10,2,65,5,10,5,0,0,3929,118,187,66,0,0,0,0,0,65,0,0,65,8,2,63,11,63,269,3347,4,63,1746,1093,2304,769,0,42,32,10
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,18,6482000,6541999,6482.000,6542.000,nsrdb,0,0,NSR,NSR,1,26302213,-69539397,-64836770,-86403096,72,60,10,127,1416,570,60,70,273,48,40,32,20,17,16,15,13,13,11,11,10,9,9,9,3,72,6,10,6,0,0,4361,125,209,91,0,0,0,0,0,72,1,1,72,11,3,70,10,70,273,3298,6,70,1428,998,2432,833,0,42,30,12
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,19,6542000,6601999,6542.000,6602.000,nsrdb,0,0,NSR,NSR,1,34210470,-75890258,-54688348,-98429637,64,60,2,123,1383,586,60,62,140,45,30,20,12,9,6,2,2,2,2,2,2,2,2,2,1,64,3,6,3,0,0,3715,123,196,68,0,0,0,0,0,64,0,0,64,3,1,62,2,62,140,2998,6,62,322,578,2500,468,0,18,12,6
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,20,6602000,6661999,6602.000,6662.000,nsrdb,0,0,NSR,NSR,1,-21519311,-99843082,-24034824,-51870475,70,50,18,123,1274,449,50,68,371,57,46,37,27,22,20,20,19,18,18,18,18,18,17,16,3,70,11,20,11,0,0,4196,117,192,82,0,0,0,0,0,70,0,0,70,13,3,68,18,68,371,3410,5,68,2647,1396,2298,1571,0,65,43,22
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,21,6662000,6721999,6662.000,6722.000,nsrdb,0,0,NSR,NSR,1,22712909,-86354885,-41480789,-90110127,65,57,6,121,1250,496,57,63,181,43,31,21,11,9,8,8,8,6,6,6,6,6,6,6,0,65,5,12,5,0,0,3328,120,193,113,0,0,0,0,0,65,0,0,65,4,0,63,6,63,181,2407,8,63,952,735,2227,769,0,25,15,10
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,22,6722000,6781999,6722.000,6782.000,nsrdb,0,0,NSR,NSR,1,39807820,-79319156,-57569086,-97380720,63,58,3,123,1216,507,58,61,137,39,28,19,11,8,5,3,3,3,3,3,3,3,3,3,0,63,1,0,1,0,0,3355,123,184,72,0,0,0,0,0,63,0,0,63,2,0,61,3,61,137,2902,6,61,491,574,2237,158,0,13,11,2
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,23,6782000,6841999,6782.000,6842.000,nsrdb,2,2,ARR,ARR,1,-53089956,-82769228,-22282959,-41522732,86,59,25,145,1725,564,59,84,500,66,55,47,38,31,29,28,28,27,27,26,25,25,24,24,11,86,17,37,17,1,0,5498,141,239,105,2,2,2,0,0,86,0,0,86,26,11,84,25,84,500,3933,6,84,2976,1523,2447,1976,190,104,67,37
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,24,6842000,6901999,6842.000,6902.000,nsrdb,0,0,NSR,NSR,1,40137520,-116775944,-28400872,-90259201,66,63,1,131,1724,693,63,64,145,52,38,25,13,7,4,1,1,1,1,1,1,0,0,0,0,66,0,0,0,0,0,3343,131,230,75,0,0,0,0,0,66,0,0,66,0,0,64,1,64,145,2550,8,64,156,580,2816,0,0,8,8,0
2,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5402000,7201999,25,6902000,6961999,6902.000,6962.000,nsrdb,0,0,NSR,NSR,1,26650107,-79015314,-43432035,-98400254,61,57,2,119,1545,568,57,59,191,49,41,30,22,14,11,4,4,3,3,2,2,2,2,2,0,61,2,5,2,0,0,3475,119,201,66,0,0,0,0,0,61,0,0,61,7,0,59,2,59,191,2945,6,59,338,828,2551,327,0,20,16,4
