candidate_id,scope,max_depth,min_leaf,nodes,leaves,passes_all_split_85,train_accuracy,train_macro_f1,train_arr_recall,train_correct,train_total,val_accuracy,val_macro_f1,val_arr_recall,val_correct,val_total,test_accuracy,test_macro_f1,test_arr_recall,test_correct,test_total
0,train_only,2,1,7,4,0,0.75,0.720350102406554,0.23529411764705882,51,68,0.5625,0.509453781512605,0.0,18,32,0.5833333333333334,0.5235042735042735,0.0,21,36
1,train_only,2,2,7,4,0,0.75,0.720350102406554,0.23529411764705882,51,68,0.5625,0.509453781512605,0.0,18,32,0.5833333333333334,0.5235042735042735,0.0,21,36
2,train_only,2,3,7,4,0,0.75,0.720350102406554,0.23529411764705882,51,68,0.5625,0.509453781512605,0.0,18,32,0.5833333333333334,0.5235042735042735,0.0,21,36
3,train_only,2,4,7,4,0,0.75,0.720350102406554,0.23529411764705882,51,68,0.5625,0.509453781512605,0.0,18,32,0.5833333333333334,0.5235042735042735,0.0,21,36
4,train_only,3,1,11,6,0,0.9117647058823529,0.9133244206773619,0.8823529411764706,62,68,0.75,0.7416729512317748,0.875,24,32,0.7222222222222222,0.7250193498452012,0.7777777777777778,26,36
5,train_only,3,2,11,6,0,0.9117647058823529,0.9133244206773619,0.8823529411764706,62,68,0.75,0.7416729512317748,0.875,24,32,0.7222222222222222,0.7250193498452012,0.7777777777777778,26,36
6,train_only,3,3,11,6,0,0.9117647058823529,0.9134521392585908,1.0,62,68,0.75,0.7416729512317748,0.875,24,32,0.7222222222222222,0.7194794584500467,0.8888888888888888,26,36
7,train_only,3,4,11,6,0,0.8970588235294118,0.8987862495927011,0.8823529411764706,61,68,0.78125,0.7778361344537815,0.875,25,32,0.7222222222222222,0.7201582387340901,0.7777777777777778,26,36
8,train_only,4,1,17,9,0,0.9705882352941176,0.9705627705627706,1.0,66,68,0.75,0.7416729512317748,0.875,24,32,0.6944444444444444,0.701370320855615,0.6666666666666666,25,36
9,train_only,4,2,15,8,0,0.9411764705882353,0.9411021984551396,0.8823529411764706,64,68,0.75,0.7416729512317748,0.875,24,32,0.6666666666666666,0.6742327365728901,0.5555555555555556,24,36
10,train_only,4,3,15,8,0,0.9411764705882353,0.9411021984551396,1.0,64,68,0.75,0.7416729512317748,0.875,24,32,0.6666666666666666,0.6678921568627451,0.6666666666666666,24,36
11,train_only,4,4,15,8,0,0.9117647058823529,0.9119678932178932,0.8235294117647058,62,68,0.65625,0.6481227106227107,0.375,21,32,0.6388888888888888,0.6331699346405228,0.4444444444444444,23,36
12,train_only,5,1,21,11,0,1.0,1.0,1.0,68,68,0.78125,0.7778361344537815,0.875,25,32,0.7222222222222222,0.7281153250773994,0.6666666666666666,26,36
13,train_only,5,2,17,9,0,0.9411764705882353,0.9404529162593679,0.8235294117647058,64,68,0.71875,0.7123015873015873,0.75,23,32,0.6111111111111112,0.6008200381601916,0.3333333333333333,22,36
14,train_only,5,3,17,9,0,0.9411764705882353,0.9411021984551396,1.0,64,68,0.75,0.7416729512317748,0.875,24,32,0.6666666666666666,0.6678921568627451,0.6666666666666666,24,36
15,train_only,5,4,17,9,0,0.9117647058823529,0.9119678932178932,0.8235294117647058,62,68,0.65625,0.6481227106227107,0.375,21,32,0.6388888888888888,0.6331699346405228,0.4444444444444444,23,36
16,train_only,6,1,21,11,0,1.0,1.0,1.0,68,68,0.78125,0.7778361344537815,0.875,25,32,0.7222222222222222,0.7281153250773994,0.6666666666666666,26,36
17,train_only,6,2,17,9,0,0.9411764705882353,0.9404529162593679,0.8235294117647058,64,68,0.71875,0.7123015873015873,0.75,23,32,0.6111111111111112,0.6008200381601916,0.3333333333333333,22,36
18,train_only,6,3,17,9,0,0.9411764705882353,0.9411021984551396,1.0,64,68,0.75,0.7416729512317748,0.875,24,32,0.6666666666666666,0.6678921568627451,0.6666666666666666,24,36
19,train_only,6,4,17,9,0,0.9117647058823529,0.9119678932178932,0.8235294117647058,62,68,0.65625,0.6481227106227107,0.375,21,32,0.6388888888888888,0.6331699346405228,0.4444444444444444,23,36
20,train_only,7,1,21,11,0,1.0,1.0,1.0,68,68,0.78125,0.7778361344537815,0.875,25,32,0.7222222222222222,0.7281153250773994,0.6666666666666666,26,36
21,train_only,7,2,17,9,0,0.9411764705882353,0.9404529162593679,0.8235294117647058,64,68,0.71875,0.7123015873015873,0.75,23,32,0.6111111111111112,0.6008200381601916,0.3333333333333333,22,36
