candidate_id,kind,params,complexity,train_accuracy,train_macro_f1,train_balanced_accuracy,train_recall_range,val_accuracy,val_macro_f1,val_balanced_accuracy,val_recall_range,val_min_recall
0,majority_vote,{},1,0.75,0.7455228354126859,0.75,0.3529411764705882,0.8125,0.7919191919191919,0.8125,0.625,0.375
1,average_class_mem,{},1,0.75,0.7455228354126859,0.75,0.3529411764705882,0.75,0.7348598769651401,0.75,0.625,0.375
2,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": null, ""arr"": null, ""nsr"": null}",0,0.75,0.7455228354126859,0.75,0.3529411764705882,0.8125,0.7919191919191919,0.8125,0.625,0.375
3,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": null, ""arr"": null, ""nsr"": null}",1,0.7205882352941176,0.7185483870967742,0.7205882352941176,0.3529411764705882,0.84375,0.8216577540106952,0.84375,0.625,0.375
4,guarded_rule,"{""aff_persistent"": [8, 3, 2000], ""aff_quiet"": null, ""arr"": null, ""nsr"": null}",1,0.7352941176470589,0.732054134223211,0.7352941176470589,0.3529411764705882,0.84375,0.8216577540106952,0.84375,0.625,0.375
5,guarded_rule,"{""aff_persistent"": [8, 3, 2500], ""aff_quiet"": null, ""arr"": null, ""nsr"": null}",1,0.75,0.7455228354126859,0.75,0.3529411764705882,0.84375,0.8216577540106952,0.84375,0.625,0.375
6,guarded_rule,"{""aff_persistent"": [18, 3, 500], ""aff_quiet"": null, ""arr"": null, ""nsr"": null}",1,0.7352941176470589,0.732054134223211,0.7352941176470589,0.3529411764705882,0.84375,0.8216577540106952,0.84375,0.625,0.375
7,guarded_rule,"{""aff_persistent"": [20, 3, 500], ""aff_quiet"": null, ""arr"": null, ""nsr"": null}",1,0.7352941176470589,0.732054134223211,0.7352941176470589,0.3529411764705882,0.8125,0.7919191919191919,0.8125,0.625,0.375
8,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": [14, 0, 0, 0], ""arr"": null, ""nsr"": null}",1,0.7647058823529411,0.7617955135335558,0.7647058823529411,0.2941176470588235,0.8125,0.7919191919191919,0.8125,0.625,0.375
9,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": [14, 0, 0, 0], ""arr"": null, ""nsr"": null}",2,0.7352941176470589,0.7342246745897001,0.7352941176470589,0.2941176470588235,0.84375,0.8216577540106952,0.84375,0.625,0.375
