case_id,split,class_label,class_id,record_id,chunk_id,balanced_index,chunk_file,chunk_start_sample,chunk_end_sample,snapshot_id,snapshot_start_sample,snapshot_end_sample,snapshot_start_sec,snapshot_end_sec,source_db,snapshot_pred_class,pred_class,snapshot_pred_label,pred_label,pred_valid,class_mem_NSR,class_mem_CHF,class_mem_ARR,class_mem_AFF,beat_count,pnn_match_count,pnn_mismatch_count,dscr_flip_count,dscr_slope_count,ram_code_sum,ram_code_count,rdm_valid_count,rdm_code_sum,rdm_ge10_count,rdm_ge20_count,rdm_ge30_count,rdm_ge40_count,rdm_ge50_count,rdm_ge60_count,rdm_ge70_count,rdm_ge80_count,rdm_ge90_count,rdm_ge100_count,rdm_ge110_count,rdm_ge120_count,rdm_ge130_count,rdm_ge140_count,rdm_ge150_count,ectopic_pair_count,qrs_maf_valid_count,qrs_maf_count,qrs_maf_code_sum,qrs_width_abn_count,qrs_complex_abn_count,qrs_energy_abn_count,qrs_maf_width_sum,qrs_maf_complex_sum,qrs_maf_energy_sum,rbbb_delay_valid_count,rbbb_delay_wide_count,rbbb_delay_terminal_count,rbbb_delay_like_count,rbbb_delay_segment_count,rbbb_delay_applied_count,pre_qrs_bump_count,eerg_gate_count,eerg_applied_count,eerg_pre_qrs_bump_count,eerg_early_count,eerg_ecp_count,eerg_pnn_decision_count,eerg_pnn_mismatch_count,eerg_rdm_valid_count,eerg_rdm_code_sum,strong_event_count,adaptive_event_th,pnn_decision_count,pnn_mismatch_rate_bp,rdm_avg_code_q8,ram_avg_code_q8,qrs_maf_rate_bp,rbbb_like_rate_bp,abnormal_evidence_count,rhythm_irregular_evidence_count,morphology_evidence_count,old_case_id,old_balanced_split
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,0,1802000,1861999,1802.000,1862.000,afdb,3,3,AFF,AFF,1,-110186601,-95024972,-6543503,11043727,83,34,47,42,1363,258,34,81,881,79,75,72,68,66,62,58,56,54,54,52,50,47,45,43,20,83,28,282,28,0,3,4049,24,817,135,2,4,2,0,0,83,0,0,83,20,20,81,47,81,881,2202,10,81,5802,2784,1942,3373,148,194,133,61,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,1,1862000,1921999,1862.000,1922.000,afdb,3,3,AFF,AFF,1,-115156394,-81151771,-37006477,33363532,95,44,49,49,1523,270,44,93,949,90,84,79,74,72,70,69,63,59,55,54,49,47,44,40,14,95,23,207,20,0,5,9201,24,885,127,1,2,1,0,0,95,0,0,95,26,14,93,49,93,949,5047,6,93,5268,2612,1570,2421,78,184,135,49,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,2,1922000,1981999,1922.000,1982.000,afdb,3,3,AFF,AFF,1,-101573317,-68467212,-39926664,12594715,80,38,40,40,1525,112,38,78,817,74,72,68,63,61,61,59,54,49,49,47,42,40,39,39,22,80,21,202,21,0,0,6093,20,812,97,0,0,0,0,0,80,0,0,80,27,22,78,40,78,817,2974,8,78,5128,2681,754,2625,0,165,123,42,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,3,1982000,2041999,1982.000,2042.000,afdb,3,3,AFF,AFF,1,-168729397,-53157242,5834117,11379509,115,72,40,53,1856,865,72,113,778,84,73,66,63,60,55,50,45,45,44,42,39,38,37,37,11,114,84,976,80,0,22,13410,34,1294,171,25,30,25,0,0,114,0,0,114,50,11,112,40,113,778,6333,8,112,3571,1762,3075,7304,1461,322,111,211,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,4,2042000,2101999,2042.000,2102.000,afdb,3,3,AFF,AFF,1,-171825169,-85041388,-11703754,64534927,104,48,54,50,1847,319,49,102,1017,96,91,85,79,75,72,68,65,61,58,57,55,55,51,49,14,104,54,467,53,0,8,7612,32,920,160,26,31,26,0,0,104,0,0,104,11,14,102,54,102,1017,3243,10,102,5294,2552,1666,5192,1625,284,143,141,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,5,2102000,2161999,2102.000,2162.000,afdb,2,2,ARR,ARR,1,-132533146,-88334776,15085957,8512863,105,64,39,48,1358,773,64,103,819,92,84,75,67,59,56,52,50,47,45,43,41,36,36,36,17,105,57,523,55,0,14,9773,29,959,197,17,20,17,0,0,105,0,0,105,40,17,103,39,103,819,4625,8,103,3786,2035,3092,5428,862,258,115,143,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,6,2162000,2221999,2162.000,2222.000,afdb,3,3,AFF,AFF,1,-139968391,-43456834,-85636051,68126097,93,43,48,26,1132,200,44,91,951,84,83,82,77,73,67,65,62,61,59,55,50,47,44,42,7,93,43,297,41,0,8,6305,13,798,130,5,9,5,0,0,93,0,0,93,20,7,91,48,91,951,3081,8,91,5274,2675,1163,4623,384,225,128,97,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,7,2222000,2281999,2222.000,2282.000,afdb,1,1,CHF,CHF,1,-108008978,37362541,-22756370,-103982578,64,55,7,6,662,162,54,62,273,55,41,36,29,21,14,11,10,9,9,8,8,8,7,7,4,64,5,46,5,0,0,1550,3,576,80,2,2,2,0,0,64,0,0,64,7,4,62,7,62,273,1189,10,62,1129,1127,768,781,250,44,32,12,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,8,2282000,2341999,2282.000,2342.000,afdb,2,2,ARR,ARR,1,-130730931,-26367165,-3636240,-38310843,93,72,19,20,845,293,72,91,483,71,61,51,38,33,29,28,28,26,23,22,22,19,17,15,6,93,46,242,46,0,1,11987,13,685,126,24,29,24,0,0,93,0,0,93,29,6,91,19,91,483,6730,6,91,2087,1358,1041,4946,1904,175,58,117,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,9,2342000,2401999,2342.000,2402.000,afdb,3,3,AFF,AFF,1,-124255916,-89479306,-34541961,45397231,99,55,42,78,1798,365,55,97,905,92,87,79,73,69,67,62,60,56,52,50,48,38,36,36,9,99,49,485,48,0,6,5925,45,1027,176,8,12,8,0,0,99,0,0,99,20,9,97,42,97,905,2860,10,97,4329,2388,1698,4949,454,231,120,111,102,train
