case_id,split,class_label,class_id,record_id,chunk_id,chunk_file,start_sample,end_sample,start_sec,end_sec,source_db,pred_class,pred_label,pred_valid,class_mem_NSR,class_mem_CHF,class_mem_ARR,class_mem_AFF,beat_count,pnn_match_count,pnn_mismatch_count,dscr_flip_count,dscr_slope_count,ram_code_sum,ram_code_count,rdm_valid_count,rdm_code_sum,rdm_ge10_count,rdm_ge20_count,rdm_ge30_count,rdm_ge40_count,rdm_ge50_count,rdm_ge60_count,rdm_ge70_count,rdm_ge80_count,rdm_ge90_count,rdm_ge100_count,rdm_ge110_count,rdm_ge120_count,rdm_ge130_count,rdm_ge140_count,rdm_ge150_count,ectopic_pair_count,qrs_maf_valid_count,qrs_maf_count,qrs_maf_code_sum,qrs_width_abn_count,qrs_complex_abn_count,qrs_energy_abn_count,qrs_maf_width_sum,qrs_maf_complex_sum,qrs_maf_energy_sum,rbbb_delay_valid_count,rbbb_delay_wide_count,rbbb_delay_terminal_count,rbbb_delay_like_count,rbbb_delay_segment_count,rbbb_delay_applied_count,pre_qrs_bump_count,eerg_gate_count,eerg_applied_count,eerg_pre_qrs_bump_count,eerg_early_count,eerg_ecp_count,eerg_pnn_decision_count,eerg_pnn_mismatch_count,eerg_rdm_valid_count,eerg_rdm_code_sum,strong_event_count,adaptive_event_th,pnn_decision_count,pnn_mismatch_rate_bp,rdm_avg_code_q8,ram_avg_code_q8,qrs_maf_rate_bp,rbbb_like_rate_bp,abnormal_evidence_count,rhythm_irregular_evidence_count,morphology_evidence_count
0,train,NSR,0,16265,41,train/NSR/16265/16265_w00041.mem,1232000,1261999,1232.000,1262.000,nsrdb,0,NSR,1,28007910,-73013527,-55714036,-101045641,43,41,0,85,2384,935,41,41,41,26,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,2781,85,476,47,0,0,0,0,0,43,0,0,43,0,0,41,0,41,41,2179,12,41,0,256,5838,0,0,0,0,0
2,train,NSR,0,16265,222,train/NSR/16265/16265_w00222.mem,6662000,6691999,6662.000,6692.000,nsrdb,0,NSR,1,5005260,-50032511,-44600305,-110795562,45,43,0,89,2451,989,43,43,70,30,21,12,4,2,1,0,0,0,0,0,0,0,0,0,0,45,2,23,2,0,0,2076,89,522,49,1,1,1,0,0,45,0,0,45,0,0,43,0,43,70,1410,32,43,0,416,5888,444,204,7,2,5
4,train,NSR,0,16265,404,train/NSR/16265/16265_w00404.mem,12122000,12151999,12122.000,12152.000,nsrdb,0,NSR,1,32064894,-88351029,-48229245,-97616241,49,47,0,98,2819,1124,47,47,64,32,19,10,3,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,2552,98,590,51,0,0,0,0,0,49,0,0,49,0,0,47,0,47,64,2030,20,47,0,348,6122,0,0,0,0,0
6,train,NSR,0,16265,586,train/NSR/16265/16265_w00586.mem,17582000,17611999,17582.000,17612.000,nsrdb,0,NSR,1,21003313,-38726128,-85981543,-98674210,56,54,0,111,3181,1294,54,54,26,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,2453,111,723,61,0,0,0,0,0,56,0,0,56,0,0,54,0,54,26,1551,40,54,0,123,6134,0,0,0,0,0
8,train,NSR,0,16265,751,train/NSR/16265/16265_w00751.mem,22532000,22561999,22532.000,22562.000,nsrdb,2,ARR,1,-30121391,-32975993,-22096008,-114643292,44,40,2,83,2336,927,39,42,139,33,26,17,11,9,8,7,6,6,4,4,3,2,2,1,1,43,5,40,4,0,2,2225,81,491,56,1,2,1,0,0,43,0,0,43,2,1,42,2,42,139,1423,32,42,476,847,6084,1136,178,24,12,12
10,train,NSR,0,16265,932,train/NSR/16265/16265_w00932.mem,27962000,27991999,27962.000,27992.000,nsrdb,0,NSR,1,14573130,-51195172,-56250556,-108143043,51,49,0,102,2948,1169,49,49,74,25,18,14,6,3,2,2,2,1,1,0,0,0,0,0,0,51,0,0,0,0,0,2188,102,609,68,0,2,0,0,0,51,0,0,51,0,0,49,0,49,74,1294,40,49,0,386,6107,0,0,3,3,0
12,train,NSR,0,16265,1114,train/NSR/16265/16265_w01114.mem,33422000,33451999,33422.000,33452.000,nsrdb,0,NSR,1,13988218,-56707954,-42348388,-115002733,37,35,0,74,2353,900,35,35,65,22,15,11,7,6,3,1,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,2316,72,491,54,1,1,1,0,0,36,0,0,36,0,0,35,0,35,65,1735,16,35,0,475,6582,0,185,7,6,1
14,train,NSR,0,16265,1295,train/NSR/16265/16265_w01295.mem,38852000,38881999,38852.000,38882.000,nsrdb,0,NSR,1,31945144,-92918886,-36136232,-104164592,40,37,1,80,2427,885,37,38,76,27,19,11,7,4,2,1,1,1,1,1,1,0,0,0,0,40,0,0,0,0,0,2040,80,519,40,0,0,0,0,0,40,0,0,40,0,0,38,1,38,76,1516,24,38,263,512,6123,0,0,5,5,0
16,train,NSR,0,16265,1477,train/NSR/16265/16265_w01477.mem,44312000,44341999,44312.000,44342.000,nsrdb,0,NSR,1,34797219,-102417594,-22097347,-110031133,31,29,0,61,1710,665,29,29,67,25,21,13,5,2,1,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1738,61,367,31,0,0,0,0,0,31,0,0,31,0,0,29,0,29,67,1318,16,29,0,591,5870,0,0,2,2,0
18,train,NSR,0,16265,1642,train/NSR/16265/16265_w01642.mem,49262000,49291999,49262.000,49292.000,nsrdb,0,NSR,1,12238708,-94958400,-4836181,-114111914,38,36,0,75,2277,919,36,36,77,28,21,13,5,3,2,1,1,1,1,1,0,0,0,0,0,38,0,0,0,0,0,1933,75,504,49,0,2,0,0,0,38,0,0,38,0,0,36,0,36,77,1441,24,36,0,547,6535,0,0,3,3,0
