case_id,split,class_label,class_id,record_id,chunk_id,balanced_index,chunk_file,snapshot_id,snapshot_pred_class,snapshot_pred_label,pred_valid,class_mem_NSR,class_mem_CHF,class_mem_ARR,class_mem_AFF,beat_count,pnn_match_count,pnn_mismatch_count,dscr_flip_count,dscr_slope_count,ram_code_sum,ram_code_count,rdm_valid_count,rdm_code_sum,ectopic_pair_count,qrs_maf_count,qrs_width_abn_count,qrs_complex_abn_count,qrs_energy_abn_count,rbbb_delay_like_count,rbbb_delay_applied_count,pre_qrs_bump_count,abnormal_evidence_count,rhythm_irregular_evidence_count,morphology_evidence_count,pnn_decision_count,pnn_mismatch_rate_bp,rdm_avg_code_q8,ram_avg_code_q8,qrs_maf_rate_bp,v2_eerg_like_removed
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,0,0,NSR,1,54602353,-95888255,-52080432,-101075417,53,51,0,105,1303,507,51,51,153,0,0,0,0,0,0,0,53,0,153,105,51,0,768,2544,0,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,1,3,AFF,1,-32955136,-103877295,-35057945,-25714515,76,54,19,127,1554,536,54,74,458,5,9,9,0,0,0,0,75,42,482,145,73,2602,1584,2541,1200,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,2,0,NSR,1,4601081,-34792746,-77994057,-88185835,74,69,3,144,1763,679,69,72,140,0,5,5,0,0,2,0,74,15,143,156,72,416,497,2519,675,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,3,0,NSR,1,-13382057,-86808780,-33056531,-62634087,69,53,14,127,1581,516,53,67,350,5,5,5,0,0,0,0,69,29,369,137,67,2089,1337,2492,724,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,4,0,NSR,1,38797359,-112447513,-33270460,-88795679,63,58,3,123,1511,584,58,61,181,1,0,0,0,0,0,0,63,4,185,123,61,491,759,2577,0,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,5,0,NSR,1,58358739,-98834194,-56808120,-97123643,64,62,0,127,1570,656,62,62,109,0,0,0,0,0,0,0,64,0,109,127,62,0,450,2708,0,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,6,0,NSR,1,19575199,-84729084,-42201260,-88153495,70,60,8,129,1581,592,60,68,221,2,2,2,0,0,0,0,70,14,231,133,68,1176,832,2525,285,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,7,0,NSR,1,-47121604,-48230033,-54908613,-48313716,93,73,18,171,1944,695,73,91,394,4,19,19,0,0,2,0,93,62,416,211,91,1978,1108,2437,2043,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,8,0,NSR,1,-21068652,-90920739,-25562861,-58758101,74,59,13,139,1660,557,59,72,353,6,4,4,0,0,1,0,74,28,372,148,72,1805,1255,2416,540,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,9,0,NSR,1,45511677,-90518952,-51224445,-98293938,60,55,3,117,1430,532,55,58,189,0,0,0,0,0,0,0,60,3,192,117,58,517,834,2476,0,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,10,0,NSR,1,55225554,-98300265,-52157311,-98778877,58,56,0,115,1367,522,56,56,149,0,0,0,0,0,0,0,58,0,149,115,56,0,681,2386,0,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,11,2,ARR,1,-50919039,-70306561,-27832352,-49798992,87,63,22,129,1588,613,63,85,503,7,23,23,0,0,3,0,87,78,532,178,85,2588,1514,2490,2643,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,12,0,NSR,1,57109135,-83625132,-66725535,-100488875,58,56,0,115,1406,557,56,56,139,0,0,0,0,0,0,0,58,0,139,115,56,0,635,2546,0,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,13,0,NSR,1,-7136206,-85188538,-28168546,-74091853,66,53,11,119,1439,583,53,64,300,4,6,6,0,0,0,0,66,27,315,131,64,1718,1200,2816,909,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,14,0,NSR,1,21174788,-86538578,-39978983,-90171352,65,57,6,123,1396,522,57,63,166,0,2,2,0,0,0,0,65,10,172,127,63,952,674,2344,307,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,15,3,AFF,1,-39859116,-120684737,-32652436,-2775025,80,50,28,129,1612,538,51,78,585,13,12,12,0,0,0,0,80,65,626,153,78,3589,1920,2700,1500,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,16,0,NSR,1,7307515,-90911100,-27487933,-84386048,67,55,9,124,1482,590,55,65,268,4,6,6,0,0,0,0,66,25,281,136,64,1406,1055,2746,909,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,17,0,NSR,1,-4806327,-85004387,-35267590,-70564019,65,52,11,120,1209,468,52,63,269,2,5,5,0,0,0,0,65,23,282,130,63,1746,1093,2304,769,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,18,0,NSR,1,11499974,-69050158,-54797537,-82975231,72,60,10,127,1416,570,60,70,273,3,6,6,0,0,0,0,72,25,286,139,70,1428,998,2432,833,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,19,0,NSR,1,34210470,-75890258,-54688348,-98429637,64,60,2,123,1383,586,60,62,140,1,3,3,0,0,0,0,64,9,143,129,62,322,578,2500,468,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,20,0,NSR,1,-21519311,-99843082,-24034824,-51870475,70,50,18,123,1274,449,50,68,371,3,11,11,0,0,0,0,70,43,392,145,68,2647,1396,2298,1571,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,21,0,NSR,1,22712909,-86354885,-41480789,-90110127,65,57,6,121,1250,496,57,63,181,0,5,5,0,0,0,0,65,16,187,131,63,952,735,2227,769,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,22,0,NSR,1,39807820,-79319156,-57569086,-97380720,63,58,3,123,1216,507,58,61,137,0,1,1,0,0,0,0,63,5,140,125,61,491,574,2237,158,0
0,train,NSR,0,16272,3,2,train/NSR/16272/16272_30min_w003.mem,23,2,ARR,1,-53089956,-82769228,-22282959,-41522732,86,59,25,145,1725,564,59,84,500,11,17,17,1,0,2,0,86,73,536,182,84,2976,1523,2447,1976,0
