case_id,split,record_id,window_id,true_class,selection_tags,mem_file,py_qrs_count,rtl_qrs_count,qrs_count_diff,py_beat_count,rtl_beat_count,diff_beat_count,py_pnn_match_count,rtl_pnn_match_count,diff_pnn_match_count,py_pnn_mismatch_count,rtl_pnn_mismatch_count,diff_pnn_mismatch_count,py_dscr_flip_count,rtl_dscr_flip_count,diff_dscr_flip_count,py_dscr_slope_count,rtl_dscr_slope_count,diff_dscr_slope_count,py_ram_code_sum,rtl_ram_code_sum,diff_ram_code_sum,py_ram_code_count,rtl_ram_code_count,diff_ram_code_count,py_rdm_valid_count,rtl_rdm_valid_count,diff_rdm_valid_count,py_rdm_code_sum,rtl_rdm_code_sum,diff_rdm_code_sum,py_rdm_ge10_count,rtl_rdm_ge10_count,diff_rdm_ge10_count,py_rdm_ge20_count,rtl_rdm_ge20_count,diff_rdm_ge20_count,py_rdm_ge30_count,rtl_rdm_ge30_count,diff_rdm_ge30_count,py_rdm_ge40_count,rtl_rdm_ge40_count,diff_rdm_ge40_count,py_rdm_ge50_count,rtl_rdm_ge50_count,diff_rdm_ge50_count,py_rdm_ge60_count,rtl_rdm_ge60_count,diff_rdm_ge60_count,py_rdm_ge70_count,rtl_rdm_ge70_count,diff_rdm_ge70_count,py_rdm_ge80_count,rtl_rdm_ge80_count,diff_rdm_ge80_count,py_rdm_ge90_count,rtl_rdm_ge90_count,diff_rdm_ge90_count,py_rdm_ge100_count,rtl_rdm_ge100_count,diff_rdm_ge100_count,py_rdm_ge110_count,rtl_rdm_ge110_count,diff_rdm_ge110_count,py_rdm_ge120_count,rtl_rdm_ge120_count,diff_rdm_ge120_count,py_rdm_ge130_count,rtl_rdm_ge130_count,diff_rdm_ge130_count,py_rdm_ge140_count,rtl_rdm_ge140_count,diff_rdm_ge140_count,py_rdm_ge150_count,rtl_rdm_ge150_count,diff_rdm_ge150_count,py_ectopic_pair_count,rtl_ectopic_pair_count,diff_ectopic_pair_count,py_qrs_maf_valid_count,rtl_qrs_maf_valid_count,diff_qrs_maf_valid_count,py_qrs_maf_count,rtl_qrs_maf_count,diff_qrs_maf_count,py_qrs_maf_code_sum,rtl_qrs_maf_code_sum,diff_qrs_maf_code_sum,py_qrs_width_abn_count,rtl_qrs_width_abn_count,diff_qrs_width_abn_count,py_qrs_complex_abn_count,rtl_qrs_complex_abn_count,diff_qrs_complex_abn_count,py_qrs_energy_abn_count,rtl_qrs_energy_abn_count,diff_qrs_energy_abn_count,py_qrs_terminal_delay_count,rtl_qrs_terminal_delay_count,diff_qrs_terminal_delay_count,py_qrs_late_energy_count,rtl_qrs_late_energy_count,diff_qrs_late_energy_count,py_qrs_asymmetry_count,rtl_qrs_asymmetry_count,diff_qrs_asymmetry_count,py_qrs_peak_to_tail_count,rtl_qrs_peak_to_tail_count,diff_qrs_peak_to_tail_count,py_qrs_pvc_like_count,rtl_qrs_pvc_like_count,diff_qrs_pvc_like_count,py_qrs_rbbb_like_count,rtl_qrs_rbbb_like_count,diff_qrs_rbbb_like_count,py_qrs_maf_width_sum,rtl_qrs_maf_width_sum,diff_qrs_maf_width_sum,py_qrs_maf_complex_sum,rtl_qrs_maf_complex_sum,diff_qrs_maf_complex_sum,py_qrs_maf_energy_sum,rtl_qrs_maf_energy_sum,diff_qrs_maf_energy_sum,py_rbbb_delay_valid_count,rtl_rbbb_delay_valid_count,diff_rbbb_delay_valid_count,py_rbbb_delay_wide_count,rtl_rbbb_delay_wide_count,diff_rbbb_delay_wide_count,py_rbbb_delay_terminal_count,rtl_rbbb_delay_terminal_count,diff_rbbb_delay_terminal_count,py_rbbb_delay_like_count,rtl_rbbb_delay_like_count,diff_rbbb_delay_like_count,py_rbbb_delay_segment_count,rtl_rbbb_delay_segment_count,diff_rbbb_delay_segment_count,py_rbbb_delay_applied_count,rtl_rbbb_delay_applied_count,diff_rbbb_delay_applied_count,py_pre_qrs_bump_count,rtl_pre_qrs_bump_count,diff_pre_qrs_bump_count,py_eerg_gate_count,rtl_eerg_gate_count,diff_eerg_gate_count,py_eerg_applied_count,rtl_eerg_applied_count,diff_eerg_applied_count,py_eerg_pre_qrs_bump_count,rtl_eerg_pre_qrs_bump_count,diff_eerg_pre_qrs_bump_count,py_eerg_early_count,rtl_eerg_early_count,diff_eerg_early_count,py_eerg_ecp_count,rtl_eerg_ecp_count,diff_eerg_ecp_count,py_eerg_pnn_decision_count,rtl_eerg_pnn_decision_count,diff_eerg_pnn_decision_count,py_eerg_pnn_mismatch_count,rtl_eerg_pnn_mismatch_count,diff_eerg_pnn_mismatch_count,py_eerg_rdm_valid_count,rtl_eerg_rdm_valid_count,diff_eerg_rdm_valid_count,py_eerg_rdm_code_sum,rtl_eerg_rdm_code_sum,diff_eerg_rdm_code_sum,py_class_mem_NSR,rtl_class_mem_NSR,diff_class_mem_NSR,py_class_mem_CHF,rtl_class_mem_CHF,diff_class_mem_CHF,py_class_mem_ARR,rtl_class_mem_ARR,diff_class_mem_ARR,py_class_mem_AFF,rtl_class_mem_AFF,diff_class_mem_AFF,py_pred_class,rtl_pred_class,pred_class_mismatch,class_mem_mismatch,first_mismatch_stage,complete_match,final_layer_compared,final_layer_note
0,test,06426,0,AFF,record_start,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\results\python_rtl_equivalence\windows\case0000_test_AFF_06426_w00000.mem,82,82,0,82,82,0,37,37,0,43,43,0,12,12,0,1687,1687,0,144,144,0,36,36,0,80,80,0,826,826,0,76,76,0,69,69,0,66,66,0,62,62,0,59,59,0,57,57,0,56,56,0,53,53,0,51,51,0,49,49,0,49,49,0,49,49,0,47,47,0,42,42,0,41,41,0,17,17,0,82,82,0,10,10,0,133,133,0,6,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377,2377,0,8,8,0,810,810,0,105,105,0,8,8,0,28,28,0,8,8,0,0,0,0,0,0,0,82,82,0,0,0,0,0,0,0,82,82,0,16,16,0,17,17,0,80,80,0,43,43,0,80,80,0,826,826,0,-181179285,-181179285,0,-22724526,-22724526,0,-8037318,-8037318,0,12597904,12597904,0,3,3,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
1,test,06426,188,AFF,python_low_confidence_window,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\results\python_rtl_equivalence\windows\case0001_test_AFF_06426_w00188.mem,153,153,0,153,153,0,106,106,0,45,45,0,141,141,0,3684,3684,0,1213,1213,0,107,107,0,151,151,0,1059,1059,0,120,120,0,109,109,0,96,96,0,86,86,0,82,82,0,74,74,0,70,70,0,66,66,0,61,61,0,56,56,0,54,54,0,51,51,0,49,49,0,43,43,0,42,42,0,14,14,0,153,153,0,125,125,0,1547,1547,0,112,112,0,0,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17891,17891,0,112,112,0,1931,1931,0,197,197,0,22,22,0,46,46,0,22,22,0,0,0,0,0,0,0,153,153,0,0,0,0,0,0,0,153,153,0,38,38,0,14,14,0,151,151,0,45,45,0,151,151,0,1059,1059,0,-200334350,-200334350,0,-30865387,-30865387,0,-53056702,-53056702,0,73920873,73920873,0,3,3,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
2,test,06426,306,AFF,record_middle,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\results\python_rtl_equivalence\windows\case0002_test_AFF_06426_w00306.mem,108,108,0,108,108,0,53,53,0,53,53,0,161,161,0,4673,4673,0,518,518,0,53,53,0,106,106,0,1007,1007,0,101,101,0,93,93,0,85,85,0,79,79,0,76,76,0,68,68,0,64,64,0,63,63,0,61,61,0,59,59,0,57,57,0,55,55,0,52,52,0,49,49,0,45,45,0,14,14,0,108,108,0,39,39,0,715,715,0,24,24,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3553,3553,0,158,158,0,1737,1737,0,192,192,0,38,38,0,50,50,0,38,38,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,108,108,0,14,14,0,14,14,0,106,106,0,53,53,0,106,106,0,1007,1007,0,-157613274,-157613274,0,-56539232,-56539232,0,-33566369,-33566369,0,50978209,50978209,0,3,3,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
3,test,06426,612,AFF,record_end,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\results\python_rtl_equivalence\windows\case0003_test_AFF_06426_w00612.mem,88,88,0,88,88,0,35,35,0,51,51,0,115,115,0,2529,2529,0,186,186,0,35,35,0,86,86,0,948,948,0,84,84,0,79,79,0,79,79,0,74,74,0,70,70,0,68,68,0,63,63,0,60,60,0,58,58,0,57,57,0,54,54,0,52,52,0,50,50,0,50,50,0,50,50,0,24,24,0,88,88,0,9,9,0,117,117,0,8,8,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8335,8335,0,61,61,0,1063,1063,0,130,130,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,88,88,0,0,0,0,0,0,0,88,88,0,30,30,0,24,24,0,86,86,0,51,51,0,86,86,0,948,948,0,-121417007,-121417007,0,-65869186,-65869186,0,-33793320,-33793320,0,22393405,22393405,0,3,3,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
4,test,07859,0,AFF,record_start,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\results\python_rtl_equivalence\windows\case0004_test_AFF_07859_w00000.mem,92,92,0,92,92,0,45,45,0,45,45,0,0,0,0,5,5,0,205,205,0,45,45,0,90,90,0,859,859,0,85,85,0,77,77,0,73,73,0,69,69,0,65,65,0,61,61,0,59,59,0,54,54,0,51,51,0,48,48,0,46,46,0,44,44,0,44,44,0,43,43,0,40,40,0,19,19,0,92,92,0,29,29,0,7,7,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2825,2825,0,0,0,0,33,33,0,158,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,0,0,0,0,0,0,0,92,92,0,29,29,0,19,19,0,90,90,0,45,45,0,90,90,0,859,859,0,-121535364,-121535364,0,-86275286,-86275286,0,-31176646,-31176646,0,37788175,37788175,0,3,3,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
5,test,07859,149,AFF,python_correct_window,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\results\python_rtl_equivalence\windows\case0005_test_AFF_07859_w00149.mem,99,99,0,99,99,0,79,79,0,18,18,0,0,0,0,0,0,0,268,268,0,79,79,0,97,97,0,654,654,0,89,89,0,82,82,0,71,71,0,65,65,0,58,58,0,52,52,0,44,44,0,40,40,0,35,35,0,31,31,0,25,25,0,20,20,0,16,16,0,14,14,0,12,12,0,1,1,0,99,99,0,1,1,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3156,3156,0,0,0,0,35,35,0,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0,0,99,99,0,4,4,0,1,1,0,97,97,0,18,18,0,97,97,0,654,654,0,-114474882,-114474882,0,-2763806,-2763806,0,-78247683,-78247683,0,-2853039,-2853039,0,1,1,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
6,test,07859,306,AFF,record_middle,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\results\python_rtl_equivalence\windows\case0006_test_AFF_07859_w00306.mem,104,104,0,104,104,0,82,82,0,20,20,0,0,0,0,25,25,0,475,475,0,81,81,0,102,102,0,674,674,0,92,92,0,84,84,0,76,76,0,68,68,0,60,60,0,50,50,0,45,45,0,37,37,0,31,31,0,29,29,0,25,25,0,22,22,0,20,20,0,18,18,0,17,17,0,5,5,0,104,104,0,4,4,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3670,3670,0,0,0,0,50,50,0,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,0,0,0,0,0,0,0,104,104,0,36,36,0,5,5,0,102,102,0,20,20,0,102,102,0,674,674,0,-118016446,-118016446,0,-11232096,-11232096,0,-43335896,-43335896,0,-27006687,-27006687,0,1,1,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
7,test,07859,612,AFF,record_end,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\results\python_rtl_equivalence\windows\case0007_test_AFF_07859_w00612.mem,109,109,0,109,109,0,84,84,0,23,23,0,0,0,0,0,0,0,400,400,0,84,84,0,107,107,0,727,727,0,101,101,0,88,88,0,80,80,0,74,74,0,66,66,0,58,58,0,51,51,0,43,43,0,36,36,0,30,30,0,27,27,0,24,24,0,20,20,0,16,16,0,13,13,0,3,3,0,109,109,0,3,3,0,9,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292,3292,0,0,0,0,22,22,0,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,0,0,0,0,0,0,0,109,109,0,3,3,0,3,3,0,107,107,0,23,23,0,107,107,0,727,727,0,-102529595,-102529595,0,-40331231,-40331231,0,-61473361,-61473361,0,5312875,5312875,0,3,3,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
8,test,07910,0,AFF,record_start,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\results\python_rtl_equivalence\windows\case0008_test_AFF_07910_w00000.mem,58,58,0,58,58,0,52,52,0,4,4,0,107,107,0,1447,1447,0,558,558,0,52,52,0,56,56,0,101,101,0,24,24,0,11,11,0,7,7,0,6,6,0,6,6,0,6,6,0,6,6,0,5,5,0,5,5,0,5,5,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,0,0,0,58,58,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3158,3158,0,107,107,0,207,207,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,0,0,0,0,58,58,0,2,2,0,0,0,0,56,56,0,4,4,0,56,56,0,101,101,0,13731274,13731274,0,-42446253,-42446253,0,-58877926,-58877926,0,-107053075,-107053075,0,0,0,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
9,test,07910,210,AFF,python_misclassified_window,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\results\python_rtl_equivalence\windows\case0009_test_AFF_07910_w00210.mem,54,54,0,54,54,0,48,48,0,4,4,0,0,0,0,426,426,0,335,335,0,48,48,0,52,52,0,107,107,0,31,31,0,19,19,0,8,8,0,5,5,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,0,0,0,54,54,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2945,2945,0,0,0,0,110,110,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,54,54,0,4,4,0,0,0,0,52,52,0,4,4,0,52,52,0,107,107,0,-39502264,-39502264,0,-8053954,-8053954,0,-24752999,-24752999,0,-125489095,-125489095,0,1,1,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
