case_id,split,record_id,window_id,true_class,selection_tags,mem_file,py_qrs_count,rtl_qrs_count,qrs_count_diff,py_beat_count,rtl_beat_count,diff_beat_count,py_pnn_match_count,rtl_pnn_match_count,diff_pnn_match_count,py_pnn_mismatch_count,rtl_pnn_mismatch_count,diff_pnn_mismatch_count,py_dscr_flip_count,rtl_dscr_flip_count,diff_dscr_flip_count,py_dscr_slope_count,rtl_dscr_slope_count,diff_dscr_slope_count,py_ram_code_sum,rtl_ram_code_sum,diff_ram_code_sum,py_ram_code_count,rtl_ram_code_count,diff_ram_code_count,py_rdm_valid_count,rtl_rdm_valid_count,diff_rdm_valid_count,py_rdm_code_sum,rtl_rdm_code_sum,diff_rdm_code_sum,py_rdm_ge10_count,rtl_rdm_ge10_count,diff_rdm_ge10_count,py_rdm_ge20_count,rtl_rdm_ge20_count,diff_rdm_ge20_count,py_rdm_ge30_count,rtl_rdm_ge30_count,diff_rdm_ge30_count,py_rdm_ge40_count,rtl_rdm_ge40_count,diff_rdm_ge40_count,py_rdm_ge50_count,rtl_rdm_ge50_count,diff_rdm_ge50_count,py_rdm_ge60_count,rtl_rdm_ge60_count,diff_rdm_ge60_count,py_rdm_ge70_count,rtl_rdm_ge70_count,diff_rdm_ge70_count,py_rdm_ge80_count,rtl_rdm_ge80_count,diff_rdm_ge80_count,py_rdm_ge90_count,rtl_rdm_ge90_count,diff_rdm_ge90_count,py_rdm_ge100_count,rtl_rdm_ge100_count,diff_rdm_ge100_count,py_rdm_ge110_count,rtl_rdm_ge110_count,diff_rdm_ge110_count,py_rdm_ge120_count,rtl_rdm_ge120_count,diff_rdm_ge120_count,py_rdm_ge130_count,rtl_rdm_ge130_count,diff_rdm_ge130_count,py_rdm_ge140_count,rtl_rdm_ge140_count,diff_rdm_ge140_count,py_rdm_ge150_count,rtl_rdm_ge150_count,diff_rdm_ge150_count,py_ectopic_pair_count,rtl_ectopic_pair_count,diff_ectopic_pair_count,py_qrs_maf_valid_count,rtl_qrs_maf_valid_count,diff_qrs_maf_valid_count,py_qrs_maf_count,rtl_qrs_maf_count,diff_qrs_maf_count,py_qrs_maf_code_sum,rtl_qrs_maf_code_sum,diff_qrs_maf_code_sum,py_qrs_width_abn_count,rtl_qrs_width_abn_count,diff_qrs_width_abn_count,py_qrs_complex_abn_count,rtl_qrs_complex_abn_count,diff_qrs_complex_abn_count,py_qrs_energy_abn_count,rtl_qrs_energy_abn_count,diff_qrs_energy_abn_count,py_qrs_terminal_delay_count,rtl_qrs_terminal_delay_count,diff_qrs_terminal_delay_count,py_qrs_late_energy_count,rtl_qrs_late_energy_count,diff_qrs_late_energy_count,py_qrs_asymmetry_count,rtl_qrs_asymmetry_count,diff_qrs_asymmetry_count,py_qrs_peak_to_tail_count,rtl_qrs_peak_to_tail_count,diff_qrs_peak_to_tail_count,py_qrs_pvc_like_count,rtl_qrs_pvc_like_count,diff_qrs_pvc_like_count,py_qrs_rbbb_like_count,rtl_qrs_rbbb_like_count,diff_qrs_rbbb_like_count,py_qrs_maf_width_sum,rtl_qrs_maf_width_sum,diff_qrs_maf_width_sum,py_qrs_maf_complex_sum,rtl_qrs_maf_complex_sum,diff_qrs_maf_complex_sum,py_qrs_maf_energy_sum,rtl_qrs_maf_energy_sum,diff_qrs_maf_energy_sum,py_rbbb_delay_valid_count,rtl_rbbb_delay_valid_count,diff_rbbb_delay_valid_count,py_rbbb_delay_wide_count,rtl_rbbb_delay_wide_count,diff_rbbb_delay_wide_count,py_rbbb_delay_terminal_count,rtl_rbbb_delay_terminal_count,diff_rbbb_delay_terminal_count,py_rbbb_delay_like_count,rtl_rbbb_delay_like_count,diff_rbbb_delay_like_count,py_rbbb_delay_segment_count,rtl_rbbb_delay_segment_count,diff_rbbb_delay_segment_count,py_rbbb_delay_applied_count,rtl_rbbb_delay_applied_count,diff_rbbb_delay_applied_count,py_pre_qrs_bump_count,rtl_pre_qrs_bump_count,diff_pre_qrs_bump_count,py_eerg_gate_count,rtl_eerg_gate_count,diff_eerg_gate_count,py_eerg_applied_count,rtl_eerg_applied_count,diff_eerg_applied_count,py_eerg_pre_qrs_bump_count,rtl_eerg_pre_qrs_bump_count,diff_eerg_pre_qrs_bump_count,py_eerg_early_count,rtl_eerg_early_count,diff_eerg_early_count,py_eerg_ecp_count,rtl_eerg_ecp_count,diff_eerg_ecp_count,py_eerg_pnn_decision_count,rtl_eerg_pnn_decision_count,diff_eerg_pnn_decision_count,py_eerg_pnn_mismatch_count,rtl_eerg_pnn_mismatch_count,diff_eerg_pnn_mismatch_count,py_eerg_rdm_valid_count,rtl_eerg_rdm_valid_count,diff_eerg_rdm_valid_count,py_eerg_rdm_code_sum,rtl_eerg_rdm_code_sum,diff_eerg_rdm_code_sum,py_class_mem_NSR,rtl_class_mem_NSR,diff_class_mem_NSR,py_class_mem_CHF,rtl_class_mem_CHF,diff_class_mem_CHF,py_class_mem_ARR,rtl_class_mem_ARR,diff_class_mem_ARR,py_class_mem_AFF,rtl_class_mem_AFF,diff_class_mem_AFF,py_pred_class,rtl_pred_class,pred_class_mismatch,class_mem_mismatch,first_mismatch_stage,complete_match,final_layer_compared,final_layer_note
0,train,16265,0000,NSR,curated_afe_adc_60s_all,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\datasets\afe_output_xmodelmatch_curated_v2_50_25_25\signed\train\0000_NSR_16265_60s_1640000ms.mem,85,85,0,85,85,0,82,82,0,0,0,0,168,168,0,4579,4579,0,1886,1886,0,82,82,0,83,83,0,94,94,0,49,49,0,25,25,0,11,11,0,3,3,0,2,2,0,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3730,3730,0,167,167,0,958,958,0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,82,82,0,0,0,0,83,83,0,94,94,0,37759703,37759703,0,-69617780,-69617780,0,-70092633,-70092633,0,-98594323,-98594323,0,0,0,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
1,train,16265,0001,NSR,curated_afe_adc_60s_all,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\datasets\afe_output_xmodelmatch_curated_v2_50_25_25\signed\train\0001_NSR_16265_60s_3280000ms.mem,79,79,0,79,79,0,77,77,0,0,0,0,157,157,0,4397,4397,0,1831,1831,0,77,77,0,77,77,0,145,145,0,55,55,0,36,36,0,26,26,0,14,14,0,7,7,0,3,3,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4597,4597,0,157,157,0,926,926,0,102,102,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,79,79,0,0,0,0,0,0,0,79,79,0,0,0,0,0,0,0,77,77,0,0,0,0,77,77,0,145,145,0,46141123,46141123,0,-96527161,-96527161,0,-43175488,-43175488,0,-106114220,-106114220,0,0,0,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
2,train,16265,0002,NSR,curated_afe_adc_60s_all,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\datasets\afe_output_xmodelmatch_curated_v2_50_25_25\signed\train\0002_NSR_16265_60s_5450000ms.mem,80,80,0,80,80,0,77,77,0,1,1,0,159,159,0,4410,4410,0,1848,1848,0,77,77,0,78,78,0,206,206,0,58,58,0,45,45,0,38,38,0,21,21,0,14,14,0,11,11,0,7,7,0,5,5,0,3,3,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3940,3940,0,159,159,0,912,912,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,78,78,0,1,1,0,78,78,0,206,206,0,38301948,38301948,0,-86161925,-86161925,0,-45371398,-45371398,0,-105454822,-105454822,0,0,0,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
3,train,16265,0003,NSR,curated_afe_adc_60s_all,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\datasets\afe_output_xmodelmatch_curated_v2_50_25_25\signed\train\0003_NSR_16265_60s_14140000ms.mem,86,86,0,86,86,0,84,84,0,0,0,0,171,171,0,4744,4744,0,2014,2014,0,84,84,0,84,84,0,119,119,0,48,48,0,27,27,0,18,18,0,13,13,0,8,8,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840,3840,0,171,171,0,1022,1022,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,0,0,0,0,0,0,0,86,86,0,0,0,0,0,0,0,84,84,0,0,0,0,84,84,0,119,119,0,41165004,41165004,0,-65318552,-65318552,0,-70784937,-70784937,0,-105166206,-105166206,0,0,0,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
4,train,16265,0004,NSR,curated_afe_adc_60s_all,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\datasets\afe_output_xmodelmatch_curated_v2_50_25_25\signed\train\0004_NSR_16265_60s_16070000ms.mem,99,99,0,99,99,0,97,97,0,0,0,0,197,197,0,5585,5585,0,2289,2289,0,97,97,0,97,97,0,91,91,0,57,57,0,24,24,0,6,6,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4489,4489,0,197,197,0,1275,1275,0,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0,0,97,97,0,0,0,0,97,97,0,91,91,0,31638903,31638903,0,-73092045,-73092045,0,-75719958,-75719958,0,-86505317,-86505317,0,0,0,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
5,train,16265,0005,NSR,curated_afe_adc_60s_all,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\datasets\afe_output_xmodelmatch_curated_v2_50_25_25\signed\train\0005_NSR_16265_60s_28770000ms.mem,81,81,0,81,81,0,79,79,0,0,0,0,161,161,0,4426,4426,0,1893,1893,0,78,78,0,79,79,0,198,198,0,55,55,0,41,41,0,36,36,0,24,24,0,16,16,0,9,9,0,6,6,0,4,4,0,2,2,0,2,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3577,3577,0,159,159,0,945,945,0,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,79,79,0,0,0,0,79,79,0,198,198,0,42526340,42526340,0,-80424784,-80424784,0,-56536708,-56536708,0,-104621199,-104621199,0,0,0,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
6,train,16265,0006,NSR,curated_afe_adc_60s_all,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\datasets\afe_output_xmodelmatch_curated_v2_50_25_25\signed\train\0006_NSR_16265_60s_33930000ms.mem,82,82,0,82,82,0,78,78,0,2,2,0,163,163,0,4720,4720,0,1950,1950,0,78,78,0,80,80,0,185,185,0,55,55,0,42,42,0,29,29,0,20,20,0,13,13,0,7,7,0,5,5,0,4,4,0,2,2,0,2,2,0,2,2,0,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3763,3763,0,163,163,0,1043,1043,0,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,82,0,0,0,0,0,0,0,82,82,0,0,0,0,0,0,0,80,80,0,2,2,0,80,80,0,185,185,0,37494888,37494888,0,-86686375,-86686375,0,-47850479,-47850479,0,-103235852,-103235852,0,0,0,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
7,train,16265,0007,NSR,curated_afe_adc_60s_all,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\datasets\afe_output_xmodelmatch_curated_v2_50_25_25\signed\train\0007_NSR_16265_60s_42510000ms.mem,62,62,0,62,62,0,59,59,0,1,1,0,123,123,0,3356,3356,0,1400,1400,0,59,59,0,60,60,0,232,232,0,52,52,0,50,50,0,39,39,0,27,27,0,22,22,0,14,14,0,10,10,0,7,7,0,3,3,0,2,2,0,2,2,0,1,1,0,1,1,0,1,1,0,1,1,0,2,2,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3295,3295,0,123,123,0,712,712,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,0,0,0,0,0,0,62,62,0,3,3,0,2,2,0,60,60,0,1,1,0,60,60,0,232,232,0,35091985,35091985,0,-89543190,-89543190,0,-25211450,-25211450,0,-117112797,-117112797,0,0,0,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
8,train,16265,0008,NSR,curated_afe_adc_60s_all,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\datasets\afe_output_xmodelmatch_curated_v2_50_25_25\signed\train\0008_NSR_16265_60s_49070000ms.mem,77,77,0,77,77,0,75,75,0,0,0,0,153,153,0,4450,4450,0,1874,1874,0,75,75,0,75,75,0,151,151,0,61,61,0,39,39,0,25,25,0,14,14,0,7,7,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3820,3820,0,153,153,0,1004,1004,0,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,0,0,0,0,0,0,0,77,77,0,0,0,0,0,0,0,75,75,0,0,0,0,75,75,0,151,151,0,44008707,44008707,0,-116088500,-116088500,0,-26013753,-26013753,0,-103140991,-103140991,0,0,0,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
9,train,16265,0009,NSR,curated_afe_adc_60s_all,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\datasets\afe_output_xmodelmatch_curated_v2_50_25_25\signed\train\0009_NSR_16265_60s_49520000ms.mem,66,66,0,66,66,0,63,63,0,1,1,0,131,131,0,3860,3860,0,1545,1545,0,63,63,0,64,64,0,200,200,0,52,52,0,45,45,0,30,30,0,24,24,0,15,15,0,11,11,0,7,7,0,4,4,0,4,4,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4136,4136,0,131,131,0,837,837,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0,64,64,0,1,1,0,64,64,0,200,200,0,39813554,39813554,0,-95704747,-95704747,0,-33011822,-33011822,0,-109915019,-109915019,0,0,0,0,0,PASS,1,0,no RTL patient final layer implementation in current repo
